id,summary,details,modified,published,package_name,package_ecosystem,package_repo,git_introduced,git_fixed
GO-2020-0016,Infinite loop in github.com/ulikunitz/xz,"An attacker can construct a series of bytes such that calling Reader.Read on the bytes could cause an infinite loop. If parsing user supplied input, this may be used as a denial of service vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/ulikunitz/xz,Go,,,
GO-2022-0435,Panic due to large inputs affecting P-256 curves in crypto/elliptic,"A crafted scalar input longer than 32 bytes can cause P256().ScalarMult or P256().ScalarBaseMult to panic. Indirect uses through crypto/ecdsa and crypto/tls are unaffected. amd64, arm64, ppc64le, and s390x are unaffected.",0001-01-01T00:00:00Z,2022-05-20T21:17:46Z,stdlib,Go,,,
GO-2022-1008,Unauthorized file access in github.com/containers/buildah,"SGID programs executed in a container can access files that have negative group permissions for the user's primary group.

Consider a file which is owned by user u1 and group g1, permits user and other read access, and does NOT permit group read access. This file is readable by u1 and all other users except for ones in group g1.

A program with the set-group-ID (SGID) bit set assumes the primary group of the program's group when it executes.

A user with the primary group g1 who executes an SGID program owned by group g2 should not be able to access the file described above. While the program executes with the primary group g2, the group g1 should remain in its supplementary groups, blocking access to the file.

Buildah does not correctly add g1 to the supplementary groups in this scenario, permitting unauthorized access.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/containers/buildah,Go,,,
GO-2023-2116,CSRF token validation vulnerability in github.com/gofiber/fiber/v2,"A cross-site request forgery vulnerability can allow an attacker to obtain tokens and forge malicious requests on behalf of a user. This can lead to unauthorized actions being taken on the user's behalf, potentially compromising the security and integrity of the application.

The vulnerability is caused by improper validation and enforcement of CSRF tokens within the application. The CSRF token is validated against tokens in storage but was is not tied to the original requestor that generated it, allowing for token reuse.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/gofiber/fiber/v2,Go,,,
GO-2022-0492,Path traversal in github.com/argoproj/argo-events,"GitArtifactReader is vulnerable to directory traversal attacks.

The GitArtifactReader.Read function reads and returns the contents of a Git repository file. A maliciously crafted repository can exploit this to cause Read to read from arbitrary files on the filesystem.",0001-01-01T00:00:00Z,2022-07-15T23:30:03Z,github.com/argoproj/argo-events,Go,,,
GO-2023-1737,Improper handling of filenames in Content-Disposition HTTP header in github.com/gin-gonic/gin,"The filename parameter of the Context.FileAttachment function is not properly sanitized. A maliciously crafted filename can cause the Content-Disposition header to be sent with an unexpected filename value or otherwise modify the Content-Disposition header. For example, a filename of ""setup.bat&quot;;x=.txt"" will be sent as a file named ""setup.bat"".

If the FileAttachment function is called with names provided by an untrusted source, this may permit an attacker to cause a file to be served with a name different than provided. Maliciously crafted attachment file name can modify the Content-Disposition header.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/gin-gonic/gin,Go,,,
GO-2022-0521,Stack exhaustion from deeply nested XML documents in encoding/xml,Calling Decoder.Skip when parsing a deeply nested XML document can cause a panic due to stack exhaustion.,0001-01-01T00:00:00Z,2022-07-20T17:02:04Z,stdlib,Go,,,
GO-2022-1098,Denial of service in message decoding in github.com/btcsuite/btcd,"Erroneous message decoding can cause denial of service.

Improper checking of maximum witness size during node message decoding prevented nodes in Lightning Labs lnd (before 0.15.2-beta) to sync.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/btcsuite/btcd,Go,,,
GO-2022-0253,Resource exhaustion via GZIP bomb in github.com/cloudflare/cfrpki,"The HTTPFetcher.GetXML function reads a response of unlimited size into memory, permitting resource exhaustion.",0001-01-01T00:00:00Z,2022-07-15T23:07:48Z,github.com/cloudflare/cfrpki,Go,,,
GO-2020-0019,Integer overflow in github.com/gorilla/websocket,"An attacker can craft malicious WebSocket frames that cause an integer overflow in a variable which tracks the number of bytes remaining. This may cause the server or client to get stuck attempting to read frames in a loop, which can be used as a denial of service vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/gorilla/websocket,Go,,,
