id,repo_owner,repo_name,sha,raw_patch
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func refererMatchesHost(c *fiber.Ctx) error {
 	if referer == """" {
 		return ErrNoReferer
 	}
-	if referer != c.Protocol()+""://""+c.Hostname() {
+
+	refererURL, err := url.Parse(referer)
+	if err != nil {
 		return ErrBadReferer
 	}
+
+	if refererURL.Scheme+""://""+refererURL.Host != c.Protocol()+""://""+c.Hostname() {
+		return ErrBadReferer
+	}
+
 	return nil
 }
"
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," import (
 func compareTokens(a, b []byte) bool {
 	return subtle.ConstantTimeCompare(a, b) == 1
 }
+
+func compareStrings(a, b string) bool {
+	return subtle.ConstantTimeCompare([]byte(a), []byte(b)) == 1
+}
"
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1,"
+package csrf
+
+import ""crypto/subtle""
+
+func compareTokens(a, b []byte) bool {
+    return subtle.ConstantTimeCompare(a, b) == 1
+}
"
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," import (
 )
 
 // go:generate msgp
-// msgp -file=""manager.go"" -o=""manager_msgp.go"" -tests=false -unexported
+// msgp -file=""storage_manager.go"" -o=""storage_manager_msgp.go"" -tests=false -unexported
 type item struct{}
 
 //msgp:ignore manager
-type manager struct {
+type storageManager struct {
 	pool    sync.Pool
 	memory  *memory.Storage
 	storage fiber.Storage
 }
 
-func newManager(storage fiber.Storage) *manager {
+func newStorageManager(storage fiber.Storage) *storageManager {
 	// Create new storage handler
-	manager := &manager{
+	storageManager := &storageManager{
 		pool: sync.Pool{
 			New: func() interface{} {
 				return new(item)
"
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," func (m *manager) getRaw(key string) []byte {
 }
 
 // set data to storage or memory
-func (m *manager) setRaw(key string, raw []byte, exp time.Duration) {
+func (m *storageManager) setRaw(key string, raw []byte, exp time.Duration) {
 	if m.storage != nil {
 		_ = m.storage.Set(key, raw, exp) //nolint:errcheck // TODO: Do not ignore error
 	} else {
"
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," func (m *manager) setRaw(key string, raw []byte, exp time.Duration) {
 		m.memory.Set(utils.CopyString(key), raw, exp)
 	}
 }
+
+// delete data from storage or memory
+func (m *storageManager) delRaw(key string) {
+	if m.storage != nil {
+		_ = m.storage.Delete(key) //nolint:errcheck // TODO: Do not ignore error
+	} else {
+		m.memory.Delete(key)
+	}
+}
"
GO-2023-2115,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func refererMatchesHost(c *fiber.Ctx) error {
 	if referer == """" {
 		return ErrNoReferer
 	}
-	if referer != c.Protocol()+""://""+c.Hostname() {
+
+	refererURL, err := url.Parse(referer)
+	if err != nil {
 		return ErrBadReferer
 	}
+
+	if refererURL.Scheme+""://""+refererURL.Host != c.Protocol()+""://""+c.Hostname() {
+		return ErrBadReferer
+	}
+
 	return nil
 }
"
GO-2023-2115,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," import (
 func compareTokens(a, b []byte) bool {
 	return subtle.ConstantTimeCompare(a, b) == 1
 }
+
+func compareStrings(a, b string) bool {
+	return subtle.ConstantTimeCompare([]byte(a), []byte(b)) == 1
+}
"
GO-2023-2115,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1,"
+package csrf
+
+import ""crypto/subtle""
+
+func compareTokens(a, b []byte) bool {
+    return subtle.ConstantTimeCompare(a, b) == 1
+}
"
GO-2023-2115,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," import (
 )
 
 // go:generate msgp
-// msgp -file=""manager.go"" -o=""manager_msgp.go"" -tests=false -unexported
+// msgp -file=""storage_manager.go"" -o=""storage_manager_msgp.go"" -tests=false -unexported
 type item struct{}
 
 //msgp:ignore manager
-type manager struct {
+type storageManager struct {
 	pool    sync.Pool
 	memory  *memory.Storage
 	storage fiber.Storage
 }
 
-func newManager(storage fiber.Storage) *manager {
+func newStorageManager(storage fiber.Storage) *storageManager {
 	// Create new storage handler
-	manager := &manager{
+	storageManager := &storageManager{
 		pool: sync.Pool{
 			New: func() interface{} {
 				return new(item)
"
GO-2023-2115,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," func (m *manager) getRaw(key string) []byte {
 }
 
 // set data to storage or memory
-func (m *manager) setRaw(key string, raw []byte, exp time.Duration) {
+func (m *storageManager) setRaw(key string, raw []byte, exp time.Duration) {
 	if m.storage != nil {
 		_ = m.storage.Set(key, raw, exp) //nolint:errcheck // TODO: Do not ignore error
 	} else {
"
GO-2023-2115,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," func (m *manager) setRaw(key string, raw []byte, exp time.Duration) {
 		m.memory.Set(utils.CopyString(key), raw, exp)
 	}
 }
+
+// delete data from storage or memory
+func (m *storageManager) delRaw(key string) {
+	if m.storage != nil {
+		_ = m.storage.Delete(key) //nolint:errcheck // TODO: Do not ignore error
+	} else {
+		m.memory.Delete(key)
+	}
+}
"
